LocationName,Category,Latitude,Longitude,PartOf
Plovdiv,Capital,24.7452904,42.1354079,Bulgaria
Plymouth,Capital,-62.216667,16.7,Montserrat
Podgorica,Capital,19.266667,42.43333333,Montenegro
Poland,Country,21,52.25,Europe
Port Louis,Capital,57.483333,-20.15,Mauritius
Port Moresby,Capital,147.183333,-9.45,Papua New Guinea
Port of Spain,Capital,-61.516667,10.65,Trinidad and Tobago
Port-au-Prince,Capital,-72.333333,18.53333333,Haiti
Port-aux-Francais,Capital,70.216667,-49.35,French Southern and Antarctic Lands
Port-Vila,Capital,168.316667,-17.73333333,Vanuatu
Porto-Novo,Capital,2.616667,6.483333333,Benin
Portugal,Country,-9.133333,38.71666667,Europe
Prague,Capital,14.466667,50.08333333,Czech Republic
Praia,Capital,-23.516667,14.91666667,Cape Verde
Pretoria,Capital,28.216667,-25.7,South Africa
Principe,Country,6.733333,0.333333333,Africa
Pristina,Capital,21.166667,42.66666667,Kosovo
Puerto Rico,Country,-66.116667,18.46666667,North America
Pyongyang,Capital,125.75,39.01666667,North Korea
Qatar,Country,51.533333,25.28333333,Asia
Quito,Capital,-78.5,-0.216666667,Ecuador
Rabat,Capital,-6.816667,34.01666667,Morocco
Ragusa,Capital,18.0944238,42.6506606,Croatia
Rangoon,Capital,96.15,16.8,Myanmar
Rangoon ,Capital,96.173526,16.840939,Myanmar
Republic of Congo,Country,15.283333,-4.25,Africa
Reykjavik,Capital,-21.95,64.15,Iceland
Riga,Capital,24.1,56.95,Latvia
Riyadh,Capital,46.7,24.65,Saudi Arabia
Road Town,Capital,-64.616667,18.41666667,British Virgin Islands
Romania,Country,26.1,44.43333333,Europe
Rome,Capital,12.4963655,41.9027835,Italy
Roseau,Capital,-61.4,15.3,Dominica
Russell,Capital,174.1220763,-35.3039393,New Zealand
Russia,Country,37.6,55.75,Europe
Rwanda,Country,30.05,-1.95,Africa
Saint Barthelemy,Country,-62.85,17.88333333,North America
Saint George's,Capital,-61.75,12.05,Grenada
Saint Helena,Country,-5.716667,-15.93333333,Africa
Saint Helier,Capital,-2.1,49.18333333,Jersey
Saint John's,Capital,-61.85,17.11666667,Antigua and Barbuda
Saint Kitts and Nevis,Country,-62.716667,17.3,North America
Saint Lucia,Country,-61,14,North America
Saint Martin,Country,-63.0822,18.0731,North America
Saint Peter Port,Capital,-2.533333,49.45,Guernsey
Saint Petersburg,Capital,30.3609097,59.9310584,Russia
Saint Pierre and Miquelon,Country,-56.183333,46.76666667,Central America
Saint Vincent and the Grenadines,Country,-61.216667,13.13333333,Central America
Saint-Pierre,Capital,-56.183333,46.76666667,Saint Pierre and Miquelon
Saipan,Capital,145.75,15.2,Northern Mariana Islands
Samoa,Country,-171.766667,-13.81666667,Australia
San Jose,Capital,-84.083333,9.933333333,Costa Rica
San Juan,Capital,-66.116667,18.46666667,Puerto Rico
San Marino,Capital,12.416667,43.93333333,San Marino
San Marino,Country,12.416667,43.93333333,Europe
San Salvador,Capital,-89.2,13.7,El Salvador
