Name,Capital,Type,Existed,Region,Today Part of,CountryName,Country_Latitude,Country_Longitude
Emirate of Jabal Shammar,,Emirate,1836–1921,Asia: West,Arabia,,,
Soran Emirate,,Emirate,1530s–1835,Asia: West,Iran,Iran,35.7,51.416667
Sheikhdom of Kuwait,,Sheikhdom,1752–1961,Asia: West,Kuwait,Kuwait,29.36666667,47.966667
Muscat and Oman,,,1820–1970,Asia: West,Oman,Oman,23.61666667,58.583333
Imamate of Oman,,Imamate,751–1970,Asia: West,Oman,Oman,23.61666667,58.583333
Persia: Qajar dynasty,,Monarchy,1789–1925,Asia: West,Persia,,,
Emirate of Nejd,,Emirate,1812–1891,Asia: West,Saudi Arabia,Saudi Arabia,24.65,46.7
Emirate of Diriyah,,Emirate,1744–1818,Asia: West,Saudi Arabia,Saudi Arabia,24.65,46.7
Ottoman Empire,,Empire,1299–1923,Asia: West,Turkey,Turkey,39.93333333,32.866667
Trucial States,,,1820–1971,Asia: West,United Arab Emirates,United Arab Emirates,24.46666667,54.366667
Emirate of Beihan,,Emirate,17th century–1967,Asia: West,Yeman,,,
Emirate of Dhala,,Emirate,15th century–1967,Asia: West,Yeman,,,
Upper Aulaqi Sheikhdom,,Sheikhdom,18th century–1967,Asia: West,Yeman,,,
Upper Aulaqi Sultanate,,Sultanate,18th century–1967,Asia: West,Yeman,,,
Upper Yafa,,Sultanate,c.1800–1967,Asia: West,Yeman,,,
Wahidi Balhaf,,,c.1640–1967,Asia: West,Yeman,,,
Wahidi Haban,,,c.1640–1967,Asia: West,Yeman,,,
Kingdom of Imereti,,Kingdom,1260–1810,Eurasia: Caucasus,Georgia,Georgia,41.68333333,44.833333
